Rank,Name,Count,Share,Score,WinRate,Wins,Losses,Ties
1,"Miraidon ex Magnezone",76,7.72,"217 - 184 - 9",52.93,217,184,9
2,"Greninja Mega Sableye ex",75,7.61,"219 - 183 - 13",52.77,219,183,13
3,"Mega Gardevoir ex Mega Diancie ex",56,5.69,"107 - 138 - 5",42.8,107,138,5
4,"Mega Sceptile ex Greninja",45,4.57,"179 - 115 - 9",59.08,179,115,9
5,"Mega Sableye ex Darkrai ex",40,4.06,"100 - 99 - 7",48.54,100,99,7
6,"Meowscarada ex Meowscarada",27,2.74,"75 - 59 - 7",53.19,75,59,7
7,"Mega Blaziken ex Greninja",24,2.44,"57 - 56 - 5",48.31,57,56,5
8,"Milotic ex Igglybuff",24,2.44,"47 - 64 - 3",41.23,47,64,3
9,"Butterfree Mega Sceptile ex",23,2.34,"82 - 56 - 7",56.55,82,56,7
10,"Butterfree Hisuian Zoroark ex",21,2.13,"58 - 52 - 1",52.25,58,52,1
11,"Hydreigon Mega Sableye ex",21,2.13,"62 - 57 - 0",52.1,62,57,0
12,"Mega Sceptile ex Teal Mask Ogerpon ex",17,1.73,"52 - 38 - 4",55.32,52,38,4
13,"Suicune ex Baxcalibur",16,1.62,"45 - 29 - 3",58.44,45,29,3
14,"Hisuian Zoroark ex Froslass",16,1.62,"29 - 42 - 2",39.73,29,42,2
15,"Zoroark ex Mega Absol ex",15,1.52,"57 - 37 - 4",58.16,57,37,4
16,"Zoroark ex Mega Sableye ex",15,1.52,"46 - 36 - 0",56.1,46,36,0
17,"Hydreigon Mega Absol ex",15,1.52,"47 - 36 - 5",53.41,47,36,5
18,"Mega Gardevoir ex Gardevoir",15,1.52,"31 - 38 - 1",44.29,31,38,1
19,"Milotic ex Suicune ex",13,1.32,"28 - 30 - 1",47.46,28,30,1
20,"Mega Charizard Y ex Entei ex",12,1.22,"27 - 29 - 1",47.37,27,29,1
21,"Mega Scizor ex Revavroom",12,1.22,"33 - 32 - 5",47.14,33,32,5
22,"Growlithe Lillipup",12,1.22,"19 - 32 - 1",36.54,19,32,1
23,"Mega Altaria ex Greninja",11,1.12,"34 - 32 - 2",50,34,32,2
24,"Mega Lucario ex",11,1.12,"28 - 30 - 2",46.67,28,30,2
25,"Magnezone ex Magnezone",10,1.02,"35 - 20 - 5",58.33,35,20,5
26,"Mega Altaria ex Espeon",10,1.02,"20 - 20 - 1",48.78,20,20,1
27,"Milotic ex Greninja",10,1.02,"25 - 25 - 2",48.08,25,25,2
28,"Milotic ex Chien-Pao ex",9,0.91,"35 - 23 - 2",58.33,35,23,2
29,"Hisuian Zoroark ex Gourgeist",9,0.91,"18 - 21 - 0",46.15,18,21,0
30,"Mega Sceptile ex Butterfree",9,0.91,"19 - 22 - 1",45.24,19,22,1
31,"Magnezone Miraidon ex",8,0.81,"18 - 21 - 0",46.15,18,21,0
32,"Mega Manectric ex Zeraora",8,0.81,"13 - 19 - 1",39.39,13,19,1
33,"Mega Sceptile ex Sceptile",8,0.81,"12 - 24 - 0",33.33,12,24,0
34,"Giratina ex Darkrai ex",6,0.61,"19 - 16 - 1",52.78,19,16,1
35,"Milotic ex Vaporeon",6,0.61,"9 - 17 - 0",34.62,9,17,0
36,"Hisuian Goodra Mantyke",5,0.51,"15 - 13 - 0",53.57,15,13,0
37,"Mega Sableye ex Dusknoir",5,0.51,"9 - 10 - 0",47.37,9,10,0
38,"Mega Altaria ex Gourgeist",5,0.51,"10 - 14 - 1",40,10,14,1
39,"Milotic ex Mega Gyarados ex",5,0.51,"6 - 12 - 0",33.33,6,12,0
40,"Dedenne ex Emolga",4,0.41,"16 - 9 - 0",64,16,9,0
41,"Indeedee ex Giratina ex",4,0.41,"19 - 10 - 3",59.38,19,10,3
42,"Mega Lucario ex Lucario",4,0.41,"16 - 10 - 1",59.26,16,10,1
43,"Mega Lucario ex Palossand",4,0.41,"11 - 8 - 0",57.89,11,8,0
44,"Mega Lucario ex Greninja",4,0.41,"13 - 9 - 2",54.17,13,9,2
45,"Suicune ex Greninja",4,0.41,"9 - 8 - 0",52.94,9,8,0
46,"Greninja Decidueye ex",4,0.41,"14 - 11 - 2",51.85,14,11,2
47,"Hisuian Zoroark ex Glimmora",4,0.41,"12 - 12 - 0",50,12,12,0
48,"Milotic ex Vaporeon ex",4,0.41,"7 - 8 - 0",46.67,7,8,0
49,"Greninja Mega Absol ex",4,0.41,"10 - 11 - 1",45.45,10,11,1
50,"Dedenne ex Zeraora",4,0.41,"9 - 12 - 0",42.86,9,12,0
51,"Growlithe Rockruff",4,0.41,"8 - 15 - 0",34.78,8,15,0
52,"Mandibuzz Greninja",4,0.41,"4 - 8 - 0",33.33,4,8,0
53,"Mega Lucario ex Hitmontop",4,0.41,"5 - 13 - 0",27.78,5,13,0
54,"Dedenne ex Pichu",4,0.41,"1 - 8 - 0",11.11,1,8,0
55,"Mega Lucario ex Igglybuff",3,0.3,"14 - 5 - 3",63.64,14,5,3
